label,level,Ca_in,Ca_b,H,delta_over_R0,outlet_limited,min_cells
L10-1001,10,0.005,0.005388350859418495,0.036634994958600585,0.015625,False,1.6246642220556424
L10-1002,10,0.01,0.011241745591784442,0.056806407432946376,0.015625,False,2.5216801123883528
L10-1003,10,0.02,0.023935291897533288,0.08615061556427674,0.015625,False,3.8310832066623846
L10-1004,10,0.05,0.06808738958279398,0.1436653225789909,0.015625,False,5.009364101699809
L9-1100,9,0.005,0.0053842738372124445,0.037063488102161576,0.03125,False,0.8173879181108248
L9-1101,9,0.01,0.011247629179764154,0.05752430171085056,0.03125,False,1.2762518080197829
L9-1102,9,0.02,0.02394760787444238,0.08711819305021909,0.03125,False,1.9369518458523771
L9-1103,9,0.05,0.06808654688994892,0.14403006495322737,0.03125,False,3.2150849466750024
L11-case-11004,11,0.01232846739442066,0.014081921942746699,0.06452307657811637,0.0078125,False,3.9474604265667637
L11-case-11005,11,0.02310129700083159,0.02809881696494396,0.09366267297245423,0.0078125,False,6.5389625001629526
L11-case-11006,11,0.04328761281083057,0.057547367773978494,0.1333418199728804,0.0078125,False,6.690529678556281
L11-case-11007,11,0.08111308307896872,0.1213719501383471,0.18362348655016839,0.0078125,False,10.61192363258347
L11-case-11008,11,0.1519911082952933,0.2615911082055663,0.2397809978931055,0.0078125,False,13.459143717210026
L11-case-11010-a2,11,0.5336699231206307,1.1671608604150974,0.3288853297460918,0.0078125,True,15.454884724533976
L11-case-11011-a2,11,1.0,2.329053292710642,0.3509642045144999,0.0078125,True,15.44460251442802
L12-case-12003,12,0.05623413251903491,0.07840495895850441,0.1539084743391724,0.00390625,False,7.674123863068239
Lxx-case-21105,11,0.02310129700083159,0.02811357656435974,0.09384031896416803,0.0078125,False,8.348058322159332
Lxx-case-21107,11,0.08111308307896872,0.12165549014114511,0.1845186253390254,0.0078125,False,16.494790398752983
Lxx-case-21108,11,0.1519911082952933,0.2630769755694692,0.24202364806987356,0.0078125,False,21.66244894659377
Lxx-case-21208,12,0.1519911082952933,0.263574535804607,0.24270657593182926,0.00390625,False,43.43978050404195
Lxx-case-31009,11,0.2848035868435802,0.560848572698157,0.29080890136543747,0.0078125,False,16.050986366189406
Lxx-case-32002,12,0.01778279410038923,0.02102004686523494,0.08049283309218322,0.00390625,False,14.311313224355388
Lxx-case-32004,12,0.1778279410038923,0.3181175597764459,0.25463233337408,0.00390625,False,18.58933886945502
Lxx-case-32005,12,0.5623413251903491,1.2439523807204478,0.3323219171632025,0.00390625,False,20.54226727135857
Lxx-case-33002,13,0.3162277660168379,0.6374518044223871,0.2988793933876579,0.001953125,False,24.085508042857413
Lxx-case-15111,11,0.4788003699299775,1.0414913968927735,0.32687764641288797,0.0078125,False,29.273717119119652
